Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,Ajay Piraji Kamble,UDGIR (SC),IND,0,Graduate,"Rs 8,00,000 ~ 8 Lacs+",Rs 0 ~
2,Amol Haribhau Jawale,RAVER,BJP,0,Post Graduate,"Rs 13,55,74,362 ~ 13 Crore+","Rs 39,65,284 ~ 39 Lacs+"
3,Dr. Vijay Bhika Pagare,KALYAN  WEST,IND,0,Graduate Professional,,
4,Madhav Narsing Mekewad,BHOKAR,IND,0,Post Graduate,"Rs 11,85,000 ~ 11 Lacs+","Rs 80,000 ~ 80 Thou+"
5,A. Kadir Mastan Sayyed (Goregaonkar),HINGOLI,IND,0,8th Pass,"Rs 7,40,000 ~ 7 Lacs+",Rs 0 ~
6,A. T. Nana Patil,ERANDOL,IND,0,Graduate,,
7,A.Pasha A.Gaffar Khureshi,PARBHANI,IND,0,8th Pass,"Rs 89,30,000 ~ 89 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
8,Aadarsh Ravishankar Thakur,NAGPUR WEST,IND,0,Illiterate,"Rs 10,000 ~ 10 Thou+",Rs 0 ~
9,Aaisha Siddiqua Rauf Baba,MALEGAON CENTRAL,IND,0,5th Pass,,
10,Aakash Bhau Pawar,INDAPUR,Swarajya Nirman Sena,0,Graduate,"Rs 1,51,000 ~ 1 Lacs+",Rs 0 ~
11,Aakhade Anil Narsinh,MOHOL (SC),IND,0,10th Pass,"Rs 37,42,855 ~ 37 Lacs+",Rs 0 ~
12,Aamir Iqbal Natiq,MUMBADEVI,IND,0,10th Pass,,
13,Aannasaheb Satish Bhaskarrao Pawar (Patil),ERANDOL,IND,0,12th Pass,"Rs 6,15,000 ~ 6 Lacs+","Rs 1,10,000 ~ 1 Lacs+"
14,Aarti Prashant Bhosle,THANE,IND,0,Graduate,"Rs 4,27,500 ~ 4 Lacs+","Rs 75,000 ~ 75 Thou+"
15,Aba Bagul,PARVATI,IND,2,10th Pass,,
16,Abbas Ahamad Shaikh,BARSHI,IND,0,5th Pass,"Rs 6,89,815 ~ 6 Lacs+","Rs 10,20,000 ~ 10 Lacs+"
17,Abbas F. Chhatriwala,BYCULLA,IND,0,10th Pass,"Rs 64,74,404 ~ 64 Lacs+",Rs 0 ~
18,Abbas Maidu Shaikh,AURANGABAD CENTRAL,IND,0,12th Pass,,
19,Abbas Musa Shaikh,BEED,Naki Bharatiya Ekta Party,0,Literate,"Rs 1,66,000 ~ 1 Lacs+",Rs 0 ~
20,Abdul Gaffar Quadri Syed,AURANGABAD EAST,SP,5,Post Graduate,"Rs 14,49,73,669 ~ 14 Crore+","Rs 71,00,000 ~ 71 Lacs+"
21,Abdul Hafeez Abdul Aziz,SINDHKHED RAJA,IND,0,12th Pass,,
22,Abdul Hafiz Abdul Gaffar,JALNA,IND,0,10th Pass,"Rs 36,53,71,069 ~ 36 Crore+","Rs 22,87,97,697 ~ 22 Crore+"
23,Abdul Javed Abdul Wahed,KANNAD,IND,1,10th Pass,"Rs 40,64,000 ~ 40 Lacs+","Rs 6,76,000 ~ 6 Lacs+"
24,Abdul Kayyum Abdul Gani,TEOSA,IND,0,Post Graduate,,
25,Abdul Latif Nawaz Ali Shaikh,CHARKOP,IND,0,10th Pass,"Rs 1,18,27,000 ~ 1 Crore+","Rs 30,000 ~ 30 Thou+"
26,Abdul Rahim Hanif Shaikh Naikwadi,PHOLAMBARI,IND,2,10th Pass,"Rs 64,60,000 ~ 64 Lacs+","Rs 2,24,000 ~ 2 Lacs+"
27,Abdul Sattar,SILLOD,Shiv Sena,6,Graduate,,
28,Abdul Sattar A Gaffoor,NANDED NORTH,INC,0,Literate,"Rs 5,95,42,777 ~ 5 Crore+",Rs 0 ~
29,Abdul Sufiyan Sayyad,NAGPUR CENTRAL,IND,0,10th Pass,"Rs 8,600 ~ 8 Thou+",Rs 0 ~
30,Abdulaziz Ahmedsharif Vohara,SANGMNER,Vanchit Bahujan Aaghadi,0,Graduate,,
31,Abdullah Khan Dalsher Khan,MALEGAON CENTRAL,SDPI,2,Others,"Rs 53,53,925 ~ 53 Lacs+",Rs 0 ~
32,Abdullah Khan Latif Khan Durrani (Babajani),PATHRI,IND,2,10th Pass,"Rs 23,68,50,000 ~ 23 Crore+","Rs 1,92,44,000 ~ 1 Crore+"
