District,Constituency,MLA,Party,Constituency_std,consti_no
Nandurbar,Akkalkuwa (ST),Aamshya Padavi,SHS,AKKALKUWA,1
Nandurbar,Shahada (ST),Rajesh Padvi,BJP,SHAHADA,2
Nandurbar,Nandurbar (ST),Vijaykumar Gavit,BJP,NANDURBAR,3
Nandurbar,Navapur (ST),Shirishkumar Naik,INC,NAVAPUR,4
Dhule,Sakri (ST),Manjula Gavit,SHS,SAKRI,5
Dhule,Dhule Rural,Raghavendra Patil,BJP,DHULE RURAL,6
Dhule,Dhule City,Anup Agrawal,BJP,DHULE CITY,7
Dhule,Sindkheda,Jayakumar Rawal,BJP,SINDKHEDA,8
Dhule,Shirpur (ST),Kashiram Pawara,BJP,SHIRPUR,9
Jalgaon,Chopda (ST),Chandrakant Sonawane,SHS,CHOPDA,10
Jalgaon,Raver,Amol Jawale,BJP,RAVER,11
Jalgaon,Bhusawal (SC),Sanjay Savkare,BJP,BHUSAWAL,12
Jalgaon,Jalgaon City,Suresh Bhole,BJP,JALGAON CITY,13
Jalgaon,Jalgaon Rural,Gulabrao Patil,SHS,JALGAON RURAL,14
Jalgaon,Amalner,Anil Bhaidas Patil,NCP,AMALNER,15
Jalgaon,Erandol,Amol Patil,SHS,ERANDOL,16
Jalgaon,Chalisgaon,Mangesh Chavan,BJP,CHALISGAON,17
Jalgaon,Pachora,Kishor Appa Patil,SHS,PACHORA,18
Jalgaon,Jamner,Girish Mahajan,BJP,JAMNER,19
Jalgaon,Muktainagar,Chandrakant Nimba Patil,SHS,MUKTAINAGAR,20
Buldana,Malkapur,Chainsukh Sancheti,BJP,MALKAPUR,21
Buldana,Buldhana,Sanjay Gaikwad,SHS,BULDHANA,22
Buldana,Chikhali,Shweta Mahale,BJP,CHIKHALI,23
Buldana,Sindkhed Raja,Manoj Kayande,NCP,SINDKHED RAJA,24
Buldana,Mehkar (SC),Siddharth Kharat,SS-UBT,MEHKAR,25
Buldana,Khamgaon,Akash Fundkar,BJP,KHAMGAON,26
Buldana,Jalgaon (Jamod),Sanjay Kute,BJP,JALGAON (JAMOD),27
Akola,Akot,Prakash Bharsakale,BJP,AKOT,28
Akola,Balapur,Nitin Tale,SS-UBT,BALAPUR,29
Akola,Akola West,Sajid Khan Pathan,INC,AKOLA WEST,30
Akola,Akola East,Randhir Savarkar,BJP,AKOLA EAST,31
Akola,Murtizapur (SC),Harish Pimple,BJP,MURTIZAPUR,32
Washim,Risod,Amit Zanak,INC,RISOD,33
Washim,Washim (SC),Shyam Khode,BJP,WASHIM,34
Washim,Karanja,Sai Prakash Dahake,BJP,KARANJA,35
Amravati,Dhamangaon Railway,Pratap Adsad,BJP,DHAMANGAON RAILWAY,36
Amravati,Badnera,Ravi Rana,RYSP[C],BADNERA,37
Amravati,Amravati,Sulbha Khodke,NCP,AMRAVATI,38
Amravati,Teosa,Rajesh Wankhade,BJP,TEOSA,39
Amravati,Daryapur (SC),Gajanan Lawate,SS-UBT,DARYAPUR,40
Amravati,Melghat (ST),Kewalram Kale,BJP,MELGHAT,41
Amravati,Achalpur,Pravin Tayade,BJP,ACHALPUR,42
Amravati,Morshi,Chandu Yawalkar,BJP,MORSHI,43
Wardha,Arvi,Sumit Wankhede,BJP,ARVI,44
Wardha,Deoli,Rajesh Bakane,BJP,DEOLI,45
Wardha,Hinganghat,Samir Kunawar,BJP,HINGANGHAT,46
Wardha,Wardha,Pankaj Bhoyar,BJP,WARDHA,47
Nagpur,Katol,Charansing Thakur,BJP,KATOL,48
Nagpur,Savner,Ashish Deshmukh,BJP,SAVNER,49
Nagpur,Hingna,Sameer Meghe,BJP,HINGNA,50
Nagpur,Umred (SC),Sanjay Meshram,INC,UMRED,51
Nagpur,Nagpur South West,Devendra Fadnavis,BJP,NAGPUR SOUTH WEST,52
Nagpur,Nagpur South,Mohan Mate,BJP,NAGPUR SOUTH,53
Nagpur,Nagpur East,Krishna Khopde,BJP,NAGPUR EAST,54
Nagpur,Nagpur Central,Pravin Datke,BJP,NAGPUR CENTRAL,55
Nagpur,Nagpur West,Vikas Thakre,INC,NAGPUR WEST,56
Nagpur,Nagpur North (SC),Nitin Raut,INC,NAGPUR NORTH,57
Nagpur,Kamthi,Chandrashekhar Bawankule,BJP,KAMTHI,58
Nagpur,Ramtek,Ashish Jaiswal,SHS,RAMTEK,59
Bhandara,Tumsar,Raju Karemore,NCP,TUMSAR,60
Bhandara,Bhandara (SC),Narendra Bhondekar,SHS,BHANDARA,61
Bhandara,Sakoli,Nana Patole,INC,SAKOLI,62
Gondia,Arjuni Morgaon (SC),Rajkumar Badole,NCP,ARJUNI MORGAON,63
Gondia,Tirora,Vijay Rahangdale,BJP,TIRORA,64
Gondia,Gondiya,Vinod Agrawal,BJP,GONDIYA,65
Gondia,Amgaon (ST),Sanjay Puram,BJP,AMGAON,66
Gadchiroli,Armori (ST),Ramdas Masram,INC,ARMORI,67
Gadchiroli,Gadchiroli (ST),Milind Narote,BJP,GADCHIROLI,68
Gadchiroli,Aheri (ST),Dharamrao Baba Atram,NCP,AHERI,69
Chandrapur,Rajura,Deorao Bhongle,BJP,RAJURA,70
Chandrapur,Chandrapur (SC),Kishor Jorgewar,BJP,CHANDRAPUR,71
Chandrapur,Ballarpur,Sudhir Mungantiwar,BJP,BALLARPUR,72
Chandrapur,Bramhapuri,Vijay Wadettiwar,INC,BRAMHAPURI,73
Chandrapur,Chimur,Bunty Bhangdiya,BJP,CHIMUR,74
Chandrapur,Warora,Karan Deotale,BJP,WARORA,75
Yavatmal,Wani,Sanjay Derkar,SS-UBT,WANI,76
Yavatmal,Ralegaon (ST),Ashok Uike,BJP,RALEGAON,77
Yavatmal,Yavatmal,Balasaheb Mangulkar,INC,YAVATMAL,78
Yavatmal,Digras,Sanjay Rathod,SHS,DIGRAS,79
Yavatmal,Arni (ST),Raju Todsam,BJP,ARNI,80
Yavatmal,Pusad,Indranil Naik,NCP,PUSAD,81
Yavatmal,Umarkhed (SC),Kisan Wankhede,BJP,UMARKHED,82
Nanded,Kinwat,Bhimrao Keram,BJP,KINWAT,83
Nanded,Hadgaon,Baburao Kadam,SHS,HADGAON,84
Nanded,Bhokar,Sreejaya Chavan,BJP,BHOKAR,85
Nanded,Nanded North,Balaji Kalyankar,SHS,NANDED NORTH,86
Nanded,Nanded South,Anand Tidke,SHS,NANDED SOUTH,87
Nanded,Loha,Prataprao Chikhalikar,NCP,LOHA,88
Nanded,Naigaon,Rajesh Pawar,BJP,NAIGAON,89
Nanded,Deglur (SC),Jitesh Antapurkar,BJP,DEGLUR,90
Nanded,Mukhed,Tushar Rathod,BJP,MUKHED,91
Hingoli,Basmath,Chandrakant Nawghare,NCP,BASMATH,92
Hingoli,Kalamnuri,Santosh Bangar,SHS,KALAMNURI,93
Hingoli,Hingoli,Tanaji Mutkule,BJP,HINGOLI,94
Parbhani,Jintur,Meghana Bordikar,BJP,JINTUR,95
